Average Queue length,Phase,Step,Action,Reward,Total Queue Length
1.55,1.0,0.455,3,-1.55,62
1.55,1.0,0.456,3,-1.55,62
1.55,1.0,0.457,3,-1.55,62
1.55,1.0,0.458,3,-1.55,62
1.55,1.0,0.459,3,-1.55,62
1.55,1.0,0.46,3,-1.55,62
1.55,1.0,0.461,3,-1.55,62
1.55,1.0,0.462,3,-1.55,62
1.55,1.0,0.463,3,-1.55,62
1.55,1.0,0.464,3,-1.55,62
1.55,1.0,0.465,3,-1.55,62
1.55,1.0,0.466,3,-1.55,62
1.55,1.0,0.467,3,-1.55,62
1.55,1.0,0.468,3,-1.55,62
1.55,1.0,0.469,3,-1.55,62
1.55,1.0,0.47,3,-1.55,62
1.55,1.0,0.471,3,-1.55,62
1.55,1.0,0.472,3,-1.55,62
1.55,1.0,0.473,3,-1.55,62
1.55,1.0,0.474,3,-1.55,62
1.55,1.0,0.475,3,-1.55,62
1.55,1.0,0.476,3,-1.55,62
1.55,1.0,0.477,3,-1.55,62
1.55,1.0,0.478,3,-1.55,62
1.525,1.0,0.479,3,-1.525,61
1.5,1.0,0.48,3,-1.5,60
1.475,1.0,0.481,3,-1.475,59
1.45,1.0,0.482,3,-1.45,58
1.4,1.0,0.483,3,-1.4,56
1.4,1.0,0.484,3,-0.8999999999999999,56
1.375,1.0,0.485,3,-1.375,55
1.375,1.0,0.486,3,-1.375,55
1.325,1.0,0.487,3,-1.325,53
1.325,1.0,0.488,3,-1.325,53
1.325,1.0,0.489,3,-1.325,53
1.3,1.0,0.49,3,-1.3,52
1.325,1.0,0.491,3,-0.825,53
1.275,1.0,0.492,3,-1.275,51
1.275,1.0,0.493,3,-1.275,51
1.3,1.0,0.494,3,-1.3,52
1.325,1.0,0.495,3,-1.325,53
1.325,1.0,0.496,3,-1.325,53
1.35,1.0,0.497,3,-1.35,54
1.4,1.0,0.498,3,-1.4,56
1.45,1.0,0.499,3,-1.45,58
1.475,1.0,0.5,3,-1.475,59
1.5,1.0,0.501,3,-1.5,60
1.5,1.0,0.502,3,-1.5,60
1.5,1.0,0.503,3,-1.5,60
1.45,1.0,0.504,3,-1.45,58
1.4,1.0,0.505,3,-1.4,56
1.35,1.0,0.506,3,-1.35,54
1.3,1.0,0.507,3,-1.3,52
1.25,1.0,0.508,3,-1.25,50
1.25,1.0,0.509,3,-0.25,50
1.275,1.0,0.51,3,-1.275,51
1.325,1.0,0.511,3,-1.325,53
1.325,1.0,0.512,3,-1.325,53
1.375,1.0,0.513,3,-1.375,55
1.4,1.0,0.514,3,-1.4,56
1.425,1.0,0.515,3,-1.425,57
1.45,1.0,0.516,3,-1.45,58
1.45,1.0,0.517,3,-1.45,58
1.45,1.0,0.518,3,-1.45,58
1.45,1.0,0.519,3,-1.45,58
1.45,1.0,0.52,3,-1.45,58
1.45,1.0,0.521,3,-1.45,58
1.45,1.0,0.522,3,-1.45,58
1.45,1.0,0.523,3,-1.45,58
1.45,1.0,0.524,3,-1.45,58
1.45,1.0,0.525,3,-1.45,58
