Queue length,Phase,Step,Action,Reward,Total Queue Length
0.0,0.6666667,0.457,2,0.0,0.0
0.0,0.6666667,0.458,2,0.0,0.0
0.0,0.6666667,0.459,2,0.0,0.0
0.0,0.6666667,0.46,2,0.0,0.0
0.0,0.6666667,0.461,2,0.0,0.0
0.0,0.6666667,0.462,2,0.0,0.0
0.0,0.6666667,0.463,2,0.0,0.0
0.025,0.33333334,0.464,1,-0.2,0.125
0.025,1.0,0.465,3,-0.2,0.125
0.0,0.6666667,0.466,2,0.0,0.0
0.05,0.0,0.467,0,-0.2,0.25
0.05,1.0,0.468,3,-0.2,0.25
0.025,0.6666667,0.469,2,-0.2,0.125
0.025,1.0,0.47,3,-0.2,0.125
0.025,0.6666667,0.471,2,-0.2,0.125
0.0,0.6666667,0.472,2,0.0,0.0
0.0,0.6666667,0.473,2,0.0,0.0
0.0,0.6666667,0.474,2,0.0,0.0
0.0,0.6666667,0.475,2,0.0,0.0
0.0,0.6666667,0.476,2,0.0,0.0
0.0,0.6666667,0.477,2,0.0,0.0
0.0,0.6666667,0.478,2,0.0,0.0
0.0,0.6666667,0.479,2,0.0,0.0
0.0,0.6666667,0.48,2,0.0,0.0
0.0,0.6666667,0.481,2,0.0,0.0
0.1,0.33333334,0.482,1,-0.2,0.5
0.0,0.6666667,0.483,2,0.0,0.0
0.0,0.6666667,0.484,2,0.0,0.0
0.0,0.6666667,0.485,2,0.0,0.0
0.075,0.33333334,0.486,1,-0.2,0.375
0.0,0.6666667,0.487,2,0.0,0.0
0.0,0.6666667,0.488,2,0.0,0.0
0.0,0.6666667,0.489,2,0.0,0.0
0.0,0.6666667,0.49,2,0.0,0.0
0.0,0.6666667,0.491,2,0.0,0.0
0.0,0.6666667,0.492,2,0.0,0.0
0.0,0.6666667,0.493,2,0.0,0.0
0.025,0.33333334,0.494,1,-0.2,0.125
0.05,0.0,0.495,0,-0.2,0.25
0.025,1.0,0.496,3,-0.2,0.125
0.025,0.0,0.497,0,-0.2,0.125
0.025,1.0,0.498,3,-0.2,0.125
0.05,0.0,0.499,0,-0.2,0.25
0.05,0.0,0.5,0,-0.2,0.25
0.05,0.0,0.501,0,-0.2,0.25
0.05,0.0,0.502,0,-0.2,0.25
0.05,0.0,0.503,0,-0.2,0.25
0.05,0.0,0.504,0,-0.2,0.25
0.05,0.0,0.505,0,-0.2,0.25
0.05,0.0,0.506,0,-0.2,0.25
0.025,0.6666667,0.507,2,-0.2,0.125
0.0,0.6666667,0.508,2,0.0,0.0
0.0,0.6666667,0.509,2,0.0,0.0
0.0,0.6666667,0.51,2,0.0,0.0
0.0,0.6666667,0.511,2,0.0,0.0
0.1,0.33333334,0.512,1,-0.2,0.5
0.0,0.6666667,0.513,2,0.0,0.0
0.0,0.6666667,0.514,2,0.0,0.0
0.025,0.33333334,0.515,1,-0.2,0.125
0.05,1.0,0.516,3,-0.2,0.25
0.0,0.6666667,0.517,2,0.0,0.0
0.0,0.6666667,0.518,2,0.0,0.0
0.0,0.6666667,0.519,2,0.0,0.0
0.0,0.6666667,0.52,2,0.0,0.0
0.0,0.6666667,0.521,2,0.0,0.0
0.0,0.6666667,0.522,2,0.0,0.0
0.0,0.6666667,0.523,2,0.0,0.0
0.05,1.0,0.524,3,-0.2,0.25
0.05,0.33333334,0.525,1,-0.2,0.25
0.025,0.0,0.526,0,-0.2,0.125
