Queue length,Speed,Phase,Step,Action,Reward,Total Queue Length
0.05,6.1370077,0.6666667,0.42942944,2,-0.05,2
0.05,6.239785,0.6666667,0.43043044,2,-0.05,2
0.05,5.8484774,0.6666667,0.43143144,2,-0.05,2
0.05,4.9160304,0.6666667,0.43243244,2,-0.05,2
0.1,4.048887,1.0,0.43343344,3,-0.1,2
0.1,3.2881587,1.0,0.43443444,3,-0.1,4
0.1,3.0722244,0.0,0.43543544,0,-0.1,4
0.125,2.7199464,1.0,0.43643644,3,-0.125,4
0.125,2.9741316,0.0,0.43743744,0,-0.125,5
0.125,2.1985834,1.0,0.43843845,3,-0.125,5
0.125,2.6851652,0.0,0.43943945,0,-0.125,5
0.125,3.1274133,1.0,0.44044045,3,-0.125,5
0.125,3.5487723,0.0,0.44144145,0,-0.125,5
0.125,2.8710952,1.0,0.44244245,3,-0.125,5
0.125,3.3597665,0.0,0.44344345,0,-0.125,5
0.075,3.7286963,0.33333334,0.44444445,1,-0.075,5
0.075,3.8882873,0.0,0.44544545,0,-0.075,3
0.1,0.041812766,1.0,0.44644645,3,-0.1,3
0.1,0.2948825,0.6666667,0.44744745,2,-0.1,4
0.1,0.5001522,0.33333334,0.44844845,1,-0.1,4
0.1,0.6581894,0.6666667,0.44944945,2,-0.1,4
0.05,1.0705241,0.33333334,0.45045045,1,-0.05,4
0.1,1.1108661,0.33333334,0.45145145,1,-0.1,2
0.0,2.2353344,0.33333334,0.45245245,1,-0.0,4
0.0,3.3537788,0.33333334,0.45345345,1,-0.0,0
0.05,3.3229055,1.0,0.45445445,3,-0.05,0
0.075,3.5422008,1.0,0.45545545,3,-0.075,2
0.05,4.520888,1.0,0.45645645,3,-0.05,3
0.05,5.6812453,1.0,0.45745745,3,-0.05,2
0.05,6.1406703,0.6666667,0.45845845,2,-0.05,2
0.05,6.635948,0.6666667,0.45945945,2,-0.05,2
0.05,6.653336,0.6666667,0.46046045,2,-0.05,2
0.05,5.553767,0.6666667,0.46146145,2,-0.05,2
0.075,4.0220046,0.6666667,0.46246246,2,-0.075,2
0.1,3.6507046,0.0,0.46346346,0,-0.1,3
0.1,3.4659054,0.6666667,0.46446446,2,-0.1,4
0.125,3.2571723,0.0,0.46546546,0,-0.125,4
0.125,3.5635095,0.6666667,0.46646646,2,-0.125,5
