Queue length,Speed,Phase,Step,Action,Reward,Total Queue Length
0.2,1.5394119,0.0,0.3173173,0,-0.2,8
0.2,1.7697165,0.0,0.3183183,0,-0.2,8
0.25,1.933596,1.0,0.3193193,3,-0.25,8
0.275,2.2083108,0.0,0.3203203,0,-0.275,10
0.3,1.9987276,0.0,0.3213213,0,-0.3,11
0.35,1.4409666,0.0,0.3223223,0,-0.35,12
0.45,1.3782601,0.0,0.3233233,0,-0.45,14
0.4,1.6374482,1.0,0.3243243,3,-0.4,18
0.425,1.8629432,0.0,0.32532534,0,-0.425,16
0.475,1.1614939,0.0,0.32632634,0,-0.475,17
0.5,1.316315,0.0,0.32732734,0,-0.5,19
0.525,0.9999736,0.0,0.32832834,0,-0.525,20
0.55,0.5659543,0.0,0.32932934,0,-0.55,21
0.5,0.75868315,0.6666667,0.33033034,2,-0.5,22
0.5,0.96290094,0.0,0.33133134,0,-0.5,20
0.4,1.331254,0.0,0.33233234,0,-0.4,20
0.4,1.6905191,0.0,0.33333334,0,-0.4,16
0.4,1.8122115,0.0,0.33433434,0,-0.4,16
0.475,1.3444359,1.0,0.33533534,3,-0.475,16
0.45,1.1082543,0.0,0.33633634,0,-0.45,19
0.5,1.3566964,0.0,0.33733734,0,-0.5,18
0.5,1.6263608,0.0,0.33833835,0,-0.5,20
0.5,1.8549296,0.0,0.33933935,0,-0.5,20
0.45,1.6530846,0.33333334,0.34034035,1,-0.45,20
0.4,1.7746338,0.33333334,0.34134135,1,-0.4,18
0.35,1.2925546,0.33333334,0.34234235,1,-0.35,16
0.325,1.2023425,0.33333334,0.34334335,1,-0.325,14
0.3,1.3353896,0.33333334,0.34434435,1,-0.3,13
0.25,1.6990665,0.33333334,0.34534535,1,-0.25,12
0.25,2.1716573,0.33333334,0.34634635,1,-0.25,10
0.225,2.7716687,0.33333334,0.34734735,1,-0.225,10
0.2,3.4250047,0.33333334,0.34834835,1,-0.2,9
0.2,3.8257136,0.0,0.34934935,0,-0.2,8
0.25,3.807951,0.0,0.35035035,0,-0.25,8
0.275,2.8909655,0.0,0.35135135,0,-0.275,10
0.3,2.8043206,0.0,0.35235235,0,-0.3,11
0.325,2.2327962,0.0,0.35335335,0,-0.325,12
0.325,1.7452787,0.0,0.35435435,0,-0.325,13
0.35,1.4381095,0.0,0.35535535,0,-0.35,13
0.4,1.079805,0.0,0.35635635,0,-0.4,14
0.375,1.2603372,1.0,0.35735735,3,-0.375,16
0.45,1.1513743,0.0,0.35835835,0,-0.45,15
0.475,0.9970033,0.0,0.35935935,0,-0.475,18
0.525,0.9276178,0.0,0.36036035,0,-0.525,19
0.6,0.7629329,0.0,0.36136135,0,-0.6,21
0.525,0.73713344,0.0,0.36236235,0,-0.525,24
0.575,0.8224913,0.0,0.36336336,0,-0.575,21
0.575,0.9255083,0.0,0.36436436,0,-0.575,23
0.65,0.9063149,0.0,0.36536536,0,-0.65,23
0.55,0.77523404,0.6666667,0.36636636,2,-0.55,26
0.5,1.1203235,0.0,0.36736736,0,-0.5,22
0.45,1.5084809,0.0,0.36836836,0,-0.45,20
0.45,1.8900129,0.0,0.36936936,0,-0.45,18
0.4,1.8139833,1.0,0.37037036,3,-0.4,18
0.425,1.478336,0.0,0.37137136,0,-0.425,16
0.45,1.5237241,0.0,0.37237236,0,-0.45,17
0.45,1.6051456,0.6666667,0.37337336,2,-0.45,18
0.45,1.4196938,0.0,0.37437436,0,-0.45,18
0.5,1.3971862,0.0,0.3753754,0,-0.5,18
0.5,1.5638247,1.0,0.3763764,3,-0.5,20
0.575,0.7754788,0.0,0.3773774,0,-0.575,20
0.55,0.94883,1.0,0.3783784,3,-0.55,23
0.55,1.0969263,0.0,0.3793794,0,-0.55,22
0.5,1.3401116,0.33333334,0.3803804,1,-0.5,22
0.5,0.9853445,0.0,0.3813814,0,-0.5,20
0.475,0.5817326,0.0,0.3823824,0,-0.475,20
0.45,0.6734398,0.0,0.3833834,0,-0.45,19
0.45,0.7503668,0.0,0.3843844,0,-0.45,18
0.45,0.84718853,0.0,0.3853854,0,-0.45,18
0.45,0.93345946,0.0,0.3863864,0,-0.45,18
0.475,0.49147794,0.0,0.3873874,0,-0.475,18
0.45,0.550189,0.0,0.3883884,0,-0.45,19
0.475,0.5620111,0.0,0.3893894,0,-0.475,18
0.475,0.12368526,0.6666667,0.3903904,2,-0.475,19
0.5,0.26047584,0.6666667,0.3913914,2,-0.5,19
0.4,0.59426486,0.0,0.3923924,0,-0.4,20
0.4,0.9689906,0.6666667,0.3933934,2,-0.4,16
0.425,1.086553,0.0,0.3943944,0,-0.425,16
0.425,1.2263986,0.6666667,0.3953954,2,-0.425,17
0.4,1.6382921,0.0,0.3963964,0,-0.4,17
0.4,2.0436993,0.0,0.3973974,0,-0.4,16
0.4,2.3216093,0.0,0.3983984,0,-0.4,16
0.4,2.5223591,0.0,0.3993994,0,-0.4,16
0.4,2.5033844,0.0,0.4004004,0,-0.4,16
0.45,1.6362908,0.0,0.4014014,0,-0.45,16
0.4,1.683299,0.33333334,0.4024024,1,-0.4,18
0.375,1.6977061,0.33333334,0.4034034,1,-0.375,16
0.35,1.7854445,0.33333334,0.4044044,1,-0.35,15
0.3,1.3749735,0.0,0.4054054,0,-0.3,14
0.3,1.1571496,0.33333334,0.4064064,1,-0.3,12
0.225,1.5480533,1.0,0.4074074,3,-0.225,12
0.225,1.8949151,0.0,0.4084084,0,-0.225,9
0.175,2.2115517,1.0,0.4094094,3,-0.175,9
0.15,2.353361,0.0,0.4104104,0,-0.15,7
0.2,2.6244495,0.0,0.4114114,0,-0.2,6
0.225,2.801528,0.0,0.4124124,0,-0.225,8
0.3,1.7071685,0.0,0.4134134,0,-0.3,9
0.3,1.7484531,0.0,0.4144144,0,-0.3,12
0.325,1.2103603,0.0,0.4154154,0,-0.325,12
0.325,1.210859,0.0,0.4164164,0,-0.325,13
0.4,1.1353319,0.0,0.4174174,0,-0.4,13
0.45,0.575241,0.0,0.4184184,0,-0.45,16
0.45,0.74284613,0.0,0.4194194,0,-0.45,18
0.45,0.23212808,0.0,0.4204204,0,-0.45,18
0.475,0.37497804,0.33333334,0.4214214,1,-0.475,18
0.4,0.75227064,0.0,0.4224224,0,-0.4,19
0.35,1.1462677,0.0,0.4234234,0,-0.35,16
0.3,1.6543839,0.0,0.4244244,0,-0.3,14
0.3,1.7430396,0.0,0.42542544,0,-0.3,12
0.2,1.8378837,0.0,0.42642644,0,-0.2,12
0.175,2.2388883,0.33333334,0.42742744,1,-0.175,8
0.075,2.6829245,0.6666667,0.42842844,2,-0.075,7
0.05,3.2931573,0.0,0.42942944,0,-0.05,3
0.1,3.7361808,0.0,0.43043044,0,-0.1,2
0.1,3.8065882,0.0,0.43143144,0,-0.1,4
0.125,2.7411191,0.0,0.43243244,0,-0.125,4
0.175,1.7780591,0.0,0.43343344,0,-0.175,5
0.2,1.5942856,0.0,0.43443444,0,-0.2,7
0.25,1.4100703,0.0,0.43543544,0,-0.25,8
0.325,1.2974389,0.0,0.43643644,0,-0.325,10
0.4,1.3948406,0.0,0.43743744,0,-0.4,13
0.4,0.4612456,0.0,0.43843845,0,-0.4,16
0.4,0.5272207,0.6666667,0.43943945,2,-0.4,16
0.4,0.6876776,0.6666667,0.44044045,2,-0.4,16
0.325,0.9394282,0.0,0.44144145,0,-0.325,16
0.375,1.1834813,0.0,0.44244245,0,-0.375,13
0.4,1.1027397,0.0,0.44344345,0,-0.4,15
0.425,0.9491534,0.0,0.44444445,0,-0.425,16
0.5,1.0150944,0.0,0.44544545,0,-0.5,17
0.5,1.1129048,0.0,0.44644645,0,-0.5,20
0.55,1.2070271,0.0,0.44744745,0,-0.55,20
0.55,1.3271703,0.0,0.44844845,0,-0.55,22
0.55,0.9975882,0.0,0.44944945,0,-0.55,22
0.55,0.52223104,0.0,0.45045045,0,-0.55,22
0.55,0.5767282,0.33333334,0.45145145,1,-0.55,22
0.475,0.28452682,0.0,0.45245245,0,-0.475,22
0.425,0.5528905,0.33333334,0.45345345,1,-0.425,19
0.35,0.887366,0.0,0.45445445,0,-0.35,17
0.35,1.0349463,0.0,0.45545545,0,-0.35,14
0.225,1.4416744,1.0,0.45645645,3,-0.225,14
0.2,1.7175131,0.0,0.45745745,0,-0.2,9
0.15,2.040591,0.0,0.45845845,0,-0.15,8
0.175,2.3353503,1.0,0.45945945,3,-0.175,6
0.225,2.3935237,0.0,0.46046045,0,-0.225,7
0.225,2.4449964,0.0,0.46146145,0,-0.225,9
0.3,1.9357864,0.0,0.46246246,0,-0.3,9
0.325,1.6243929,0.0,0.46346346,0,-0.325,12
0.375,0.9378639,0.0,0.46446446,0,-0.375,13
0.4,0.84591997,0.0,0.46546546,0,-0.4,15
0.425,0.8578989,0.0,0.46646646,0,-0.425,16
0.55,0.40147296,0.0,0.46746746,0,-0.55,17
0.55,0.43564934,0.0,0.46846846,0,-0.55,22
0.575,0.4869304,0.0,0.46946946,0,-0.575,22
0.55,0.106944084,1.0,0.47047046,3,-0.55,23
