Queue length,Speed,Phase,Step,Action,Reward
0.033333335,2.0166125,0.0,0.348,0,-0.033333335
0.025,1.8576545,1.0,0.349,3,-0.025
0.025,2.2208948,1.0,0.35,3,-0.025
0.0,2.6849382,0.33333334,0.351,1,-0.0
0.016666668,3.2229698,0.6666667,0.352,2,-0.016666668
0.0,3.7284267,0.33333334,0.353,1,-0.0
0.008333334,2.999908,0.6666667,0.354,2,-0.008333334
0.016666668,2.8579571,0.0,0.355,0,-0.016666668
0.008333334,3.0974262,0.0,0.356,0,-0.008333334
0.016666668,2.8233922,0.0,0.357,0,-0.016666668
0.025,2.5495024,0.6666667,0.358,2,-0.025
0.033333335,2.7443511,0.6666667,0.359,2,-0.033333335
0.05,2.9251406,0.0,0.36,0,-0.05
0.06666667,1.8919123,1.0,0.361,3,-0.06666667
0.06666667,2.0332396,0.6666667,0.362,2,-0.06666667
0.033333335,2.4469,1.0,0.363,3,-0.033333335
0.033333335,2.7175493,0.6666667,0.364,2,-0.033333335
0.025,1.854706,1.0,0.365,3,-0.025
0.016666668,2.4605994,0.6666667,0.366,2,-0.016666668
0.033333335,3.1266377,1.0,0.367,3,-0.033333335
0.016666668,3.9383082,1.0,0.368,3,-0.016666668
0.008333334,4.4733768,0.0,0.369,0,-0.008333334
0.008333334,5.3694553,1.0,0.37,3,-0.008333334
0.016666668,5.644996,1.0,0.371,3,-0.016666668
0.008333334,5.7632036,0.0,0.372,0,-0.008333334
0.008333334,6.0485554,1.0,0.373,3,-0.008333334
0.025,5.2933164,1.0,0.374,3,-0.025
0.016666668,5.095316,0.33333334,0.375,1,-0.016666668
0.016666668,4.2328944,0.33333334,0.376,1,-0.016666668
0.041666668,3.9588094,1.0,0.377,3,-0.041666668
0.033333335,2.967546,0.6666667,0.378,2,-0.033333335
0.041666668,2.9907727,0.33333334,0.379,1,-0.041666668
0.041666668,3.125655,1.0,0.38,3,-0.041666668
0.041666668,2.0767837,0.6666667,0.381,2,-0.041666668
0.025,2.6761763,0.33333334,0.382,1,-0.025
0.025,3.1044378,0.6666667,0.383,2,-0.025
0.016666668,3.4134307,0.33333334,0.384,1,-0.016666668
0.008333334,3.5019236,0.0,0.385,0,-0.008333334
0.033333335,2.7690113,0.6666667,0.386,2,-0.033333335
0.033333335,2.8204303,0.0,0.387,0,-0.033333335
0.041666668,2.9405477,0.0,0.388,0,-0.041666668
0.025,3.092295,1.0,0.389,3,-0.025
0.033333335,3.1376479,0.33333334,0.39,1,-0.033333335
0.06666667,1.8531213,0.33333334,0.391,1,-0.06666667
0.075,1.9569643,0.33333334,0.392,1,-0.075
0.083333336,2.0487773,0.0,0.393,0,-0.083333336
0.075,1.3088621,0.0,0.394,0,-0.075
0.108333334,1.4337002,0.0,0.395,0,-0.108333334
0.083333336,1.7674438,1.0,0.396,3,-0.083333336
0.075,1.7904807,0.0,0.397,0,-0.075
0.075,2.3331304,0.0,0.398,0,-0.075
0.075,2.9430306,1.0,0.399,3,-0.075
0.05,3.5708954,1.0,0.4,3,-0.05
0.041666668,3.5827944,1.0,0.401,3,-0.041666668
0.025,3.7394028,0.33333334,0.402,1,-0.025
0.008333334,3.5524902,0.33333334,0.403,1,-0.008333334
0.008333334,3.3305259,1.0,0.404,3,-0.008333334
0.008333334,3.4494386,1.0,0.405,3,-0.008333334
0.041666668,2.9238708,0.33333334,0.406,1,-0.041666668
0.025,2.240847,0.6666667,0.407,2,-0.025
0.041666668,2.3323493,1.0,0.408,3,-0.041666668
0.041666668,1.3923938,1.0,0.409,3,-0.041666668
0.025,1.6212469,0.0,0.41,0,-0.025
0.05,1.586682,0.33333334,0.411,1,-0.05
0.016666668,1.9722141,0.6666667,0.412,2,-0.016666668
0.025,2.1963804,0.33333334,0.413,1,-0.025
0.041666668,2.4420156,0.6666667,0.414,2,-0.041666668
0.041666668,1.7779334,0.33333334,0.415,1,-0.041666668
0.05,2.0665405,0.33333334,0.416,1,-0.05
0.033333335,2.329471,0.0,0.417,0,-0.033333335
0.05,2.6123145,0.6666667,0.418,2,-0.05
0.06666667,2.7295265,1.0,0.419,3,-0.06666667
0.06666667,2.5277746,0.6666667,0.42,2,-0.06666667
0.09166667,1.9549139,0.6666667,0.421,2,-0.09166667
0.058333334,1.7734585,0.0,0.422,0,-0.058333334
0.058333334,1.9679096,1.0,0.423,3,-0.058333334
0.05,2.450567,0.33333334,0.424,1,-0.05
0.05,1.5399369,0.6666667,0.425,2,-0.05
0.033333335,2.1110795,0.0,0.426,0,-0.033333335
0.041666668,2.5665774,1.0,0.427,3,-0.041666668
0.033333335,3.090828,1.0,0.428,3,-0.033333335
0.041666668,3.7058327,1.0,0.429,3,-0.041666668
0.041666668,3.4101248,1.0,0.43,3,-0.041666668
0.025,3.73636,1.0,0.431,3,-0.025
0.025,3.736538,1.0,0.432,3,-0.025
0.025,3.7874033,0.33333334,0.433,1,-0.025
0.025,3.6891608,0.33333334,0.434,1,-0.025
0.033333335,3.4000409,0.33333334,0.435,1,-0.033333335
0.025,2.4727347,1.0,0.436,3,-0.025
0.033333335,2.6611116,0.33333334,0.437,1,-0.033333335
0.05,2.8192637,0.33333334,0.438,1,-0.05
0.05,2.5021346,1.0,0.439,3,-0.05
0.058333334,2.5803597,0.6666667,0.44,2,-0.058333334
0.058333334,2.1110516,0.33333334,0.441,1,-0.058333334
0.075,2.1053655,0.0,0.442,0,-0.075
0.09166667,1.6514176,0.0,0.443,0,-0.09166667
0.06666667,2.0057766,1.0,0.444,3,-0.06666667
0.06666667,1.7089227,1.0,0.445,3,-0.06666667
0.06666667,1.9574913,0.6666667,0.446,2,-0.06666667
0.075,2.141224,0.33333334,0.447,1,-0.075
0.075,1.8554573,1.0,0.448,3,-0.075
